1991,2,121.20,31.00,16
1991,3,139.00,20.50,19
1991,4,120.80,17.00,21
1991,5,4.50,3.30,3
1991,6,92.90,16.70,23
1991,7,87.80,23.00,19
1991,8,20.40,4.90,8
1991,9,114.70,40.50,15
1991,10,148.20,46.80,18
1991,11,136.90,49.70,20
1991,12,23.40,4.40,11
1992,1,40.20,11.30,10
1992,2,79.40,15.50,18
1992,3,65.20,28.40,24
1992,4,101.40,34.40,18
1992,5,98.70,20.70,15
1992,6,26.40,9.60,6
1992,7,120.50,20.90,22
1992,8,115.30,19.80,20
1992,9,110.90,30.20,22
1992,10,30.80,6.70,16
1992,11,141.00,28.90,26
1992,12,88.00,27.30,17
1993,1,169.10,25.40,24
1993,2,20.80,10.70,13
1993,3,74.90,36.80,19
1993,4,109.50,27.10,19
1993,5,160.20,32.10,19
1993,6,97.40,32.90,14
1993,7,90.50,20.00,18
1993,8,27.50,8.20,12
1993,9,216.00,59.00,20
1993,10,50.50,20.20,9
1993,11,121.30,23.00,21
1993,12,198.70,22.20,28
1994,1,154.70,18.70,26
1994,2,236.60,37.30,21
1994,3,101.30,20.90,24
1994,4,97.60,25.10,21
1994,5,124.90,18.40,20
1994,6,45.60,13.30,13
1994,7,124.80,23.30,18
1994,8,69.20,18.60,14
1994,9,70.90,13.80,19
1994,10,87.50,18.20,16
1994,11,146.00,27.40,21
1994,12,191.10,28.00,26
1995,1,178.70,17.70,24
1995,2,164.80,26.90,26
1995,3,97.50,39.10,19
1995,4,23.80,10.80,11
1995,5,77.10,17.30,20
1995,6,20.80,6.00,8
1995,7,81.20,20.90,15
1995,8,11.50,3.70,7
1995,9,68.30,21.50,13
1995,10,234.30,56.20,21
1995,11,122.90,25.70,21
1995,12,173.90,36.90,18
1996,1,217.00,24.20,25
1996,2,135.60,30.70,18
1996,3,201.50,55.20,17
1996,4,114.50,25.30,17
1996,5,69.70,15.10,18
1996,6,46.50,9.70,11
1996,7,67.30,24.80,12
1996,8,134.70,35.60,14
1996,9,36.90,18.70,12
1996,10,239.70,40.60,27
1996,11,118.00,21.40,22
